proj,name,basin,lat,lon
AHZ,AMERICAN R AT HAZEL AVE BRIDGE,AMERICAN R,38.636,-121.224
AFD,AMERICAN R BELOW FOLSOM DAM,AMERICAN R,38.6883,-121.1667
AFO,AMERICAN RIVER AT FAIR OAKS,AMERICAN R,38.63546,-121.22773
AWP,AMERICAN RIVER AT WILLIAM B POND PARK,AMERICAN R,38.591,-121.332
AWB,AMERICAN RIVER BELOW WATT AVE BRIDGE,AMERICAN R,38.567,-121.387
CSU,CALIFORNIA STATE UNIV AT SACRAMENTO,AMERICAN R,38.555,-121.416
FOL,FOLSOM LAKE,AMERICAN R,38.683,-121.183
NAT,LAKE NATOMA (NIMBUS DAM),AMERICAN R,38.65,-121.183
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),DELTA,38.2759,-121.7965
BET,BETHEL ISLAND,DELTA,38.041092,-121.632187
BBI,BYRON BETHANY IRRIGATION DIST DIVERSION,DELTA,37.8298,-121.5574
CCW,CCWD MIDDLE RIVER PP ON VICTORIA CANAL,DELTA,37.86654,-121.54379
IDB,CCWD OLD RIVER PP NEAR DISCOVERY BAY,DELTA,37.8833,-121.577
INB,CCWD ROCK SLOUGH PP NEAR BRENTWOOD,DELTA,37.996,-121.702
CLC,CLIFTON COURT,DELTA,37.8298,-121.5574
DTO,DELTA OUTFLOW,DELTA,38.059,-122.025
EMM,EMMATON (USBR),DELTA,38.084272,-121.738924
HRO,HARVEY O BANKS PUMPING PLANT,DELTA,37.798,-121.623
MDM,MIDDLE RIVER AT MIDDLE RIVER,DELTA,37.943,-121.534
OMR,OLD & MIDDLE RVRS TIDALLY FILTERED EST,DELTA,37.97,-121.5711
OBI,OLD RIVER AT BACON ISLAND (USGS),DELTA,37.969368,-121.57222
OSJ,OLD RIVER AT FRANKS TRACT NEAR TERMINOUS,DELTA,38.0711,-121.5789
OH4,OLD RIVER AT HIGHWAY 4,DELTA,37.891109,-121.569168
OLD,OLD RIVER NEAR TRACY,DELTA,37.80481,-121.449562
PPT,PRISONERS POINT,DELTA,38.066,-121.562
VCU,VICTORIA CANAL NEAR BYRON,DELTA,37.8717,-121.5283
FRA,FEATHER RIVER AT MILE 61.6,FEATHER R,39.468,-121.597
GRL,FEATHER RIVER NEAR GRIDLEY,FEATHER R,39.366577,-121.647369
ORO,OROVILLE DAM,FEATHER R,39.54,-121.493
BAT,BATTLE CREEK,SACRAMENTO R,40.398209,-122.146385
IGO,CLEAR CREEK NEAR IGO,SACRAMENTO R,40.513206,-122.524178
DCV,DEER CREEK NR VINA,SACRAMENTO R,40.014046,-121.948318
