SiteCode|Year|paramDB|paramWeb|paramDisplayLabel
AFO|2022|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2021|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2020|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2019|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2018|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2017|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2016|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2015|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2014|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2013|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2012|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2011|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2010|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2009|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2008|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2007|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2006|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2005|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2004|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2003|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2002|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2001|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2000|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|1999|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|1998|FLOW, RIVER DISCHARGE|Flow|Flow
AFO|2022|RIVER STAGE|RiverStage|Stage
AFO|2021|RIVER STAGE|RiverStage|Stage
AFO|2020|RIVER STAGE|RiverStage|Stage
AFO|2019|RIVER STAGE|RiverStage|Stage
AFO|2018|RIVER STAGE|RiverStage|Stage
AFO|2017|RIVER STAGE|RiverStage|Stage
AFO|2016|RIVER STAGE|RiverStage|Stage
AFO|2015|RIVER STAGE|RiverStage|Stage
AFO|2014|RIVER STAGE|RiverStage|Stage
AFO|2013|RIVER STAGE|RiverStage|Stage
AFO|2012|RIVER STAGE|RiverStage|Stage
AFO|2011|RIVER STAGE|RiverStage|Stage
AFO|2010|RIVER STAGE|RiverStage|Stage
AFO|2009|RIVER STAGE|RiverStage|Stage
AFO|2008|RIVER STAGE|RiverStage|Stage
AFO|2007|RIVER STAGE|RiverStage|Stage
AFO|2006|RIVER STAGE|RiverStage|Stage
AFO|2005|RIVER STAGE|RiverStage|Stage
AFO|2004|RIVER STAGE|RiverStage|Stage
AFO|2003|RIVER STAGE|RiverStage|Stage
AFO|2002|RIVER STAGE|RiverStage|Stage
AFO|2001|RIVER STAGE|RiverStage|Stage
AFO|2000|RIVER STAGE|RiverStage|Stage
AFO|1999|RIVER STAGE|RiverStage|Stage
AFO|1998|RIVER STAGE|RiverStage|Stage
AFO|2022|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|2021|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|2020|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|2002|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|2001|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|2000|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|1999|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFO|1998|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2022|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2021|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2020|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2019|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2018|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2017|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2016|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2015|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2014|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2013|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2012|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2011|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2010|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2009|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2008|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2007|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2006|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2005|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2004|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2003|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2002|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2001|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|2000|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|1999|TEMPERATURE, WATER|WaterTemperature|Water Temperature
AFD|1998|TEMPERATURE, WATER|WaterTemperature|Water Temperature
FOL|2022|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2021|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2020|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2019|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2018|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2017|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2016|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2015|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2014|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2013|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2012|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2011|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2010|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2009|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2008|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2007|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2006|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2005|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2004|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2003|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2002|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2001|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2000|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1999|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1998|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1997|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1996|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1995|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1994|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1993|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1992|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1991|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1990|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1989|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1988|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1987|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1986|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|1985|RESERVOIR ELEVATION|ReservoirElevation|Reservoir Elevation
FOL|2022|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2021|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2020|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2019|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2018|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2017|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2016|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2015|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2014|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2013|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2012|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2011|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2010|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2009|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2008|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2007|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2006|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2005|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
FOL|2004|RESERVOIR OUTFLOW|ReservoirOutflow|Reservoir Flow
