SiteCode	Year	paramDB	paramWeb	paramDisplayLabel	onlineNames	onlineData
FOL	2021	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2020	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2019	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2018	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2017	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2016	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2015	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2014	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2013	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2012	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2011	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2010	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2009	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2008	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2007	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
FOL	2006	"DISCHARGE,CONTROL REGULATING"	ControlRegulatingDischarge	Control Regulating Discharge	Control Regulating Discharge (CFS)	1
